t_ms,f0_praat,f0_snack,filename,vowel
187,249.37048077878612,250.7666718380738,BF1_central.mp3,481
188,249.741424669081,250.97202703112728,BF1_central.mp3,481
189,250.14605733537638,251.37638057800635,BF1_central.mp3,481
190,250.60535199971133,251.79983080424952,BF1_central.mp3,481
191,251.14393232544452,251.94773123120996,BF1_central.mp3,481
192,251.82135746577077,252.27686203323128,BF1_central.mp3,481
193,252.72316311830764,253.33061383536764,BF1_central.mp3,481
194,253.82257984142583,253.8954135657863,BF1_central.mp3,481
195,254.78995415898748,254.05311950616004,BF1_central.mp3,481
196,255.51403106896333,254.2491445301052,BF1_central.mp3,481
197,256.072239707252,255.07747946286497,BF1_central.mp3,481
198,256.53051613267183,,BF1_central.mp3,481
199,256.89973629018976,63.56779640014634,BF1_central.mp3,481
200,257.20960097232404,63.57427797425336,BF1_central.mp3,481
201,257.4677742130738,63.56034994959535,BF1_central.mp3,481
202,257.67938345531155,63.54353808760309,BF1_central.mp3,481
203,257.8488913449757,63.56533071143929,BF1_central.mp3,481
204,257.9805198661116,63.579374396676194,BF1_central.mp3,481
205,258.07257572279497,63.56879492361845,BF1_central.mp3,481
206,258.1274594705958,63.56241335220816,BF1_central.mp3,481
207,258.1468642141136,63.54430452283074,BF1_central.mp3,481
208,258.1317382673048,63.580959252018246,BF1_central.mp3,481
209,258.0844337183351,63.61146432186195,BF1_central.mp3,481
210,258.0070022226978,63.58643743121435,BF1_central.mp3,481
211,257.90298618949873,63.574683514457334,BF1_central.mp3,481
212,257.7754317805493,63.57906363797536,BF1_central.mp3,481
213,257.6323454913374,,BF1_central.mp3,481
214,257.47737745804835,257.319542371223,BF1_central.mp3,481
215,257.31574041026755,257.3082293945061,BF1_central.mp3,481
216,257.15138898291985,257.2478842449584,BF1_central.mp3,481
217,256.98688640561795,257.00612163289725,BF1_central.mp3,481
218,256.8193783468836,256.80100029478814,BF1_central.mp3,481
219,256.6560996343336,256.6488412877638,BF1_central.mp3,481
220,256.4917296026477,256.54447828875885,BF1_central.mp3,481
221,256.3228477926288,256.28631698890865,BF1_central.mp3,481
222,256.14936512141344,256.05296821432336,BF1_central.mp3,481
223,255.96744482079214,255.9289502269225,BF1_central.mp3,481
224,255.7744467671451,255.8113910867709,BF1_central.mp3,481
225,255.56867966862225,255.5751822205237,BF1_central.mp3,481
226,255.34929804934893,255.340621220444,BF1_central.mp3,481
227,255.11663042476115,255.25365089304978,BF1_central.mp3,481
228,254.86400485615593,255.07635649813562,BF1_central.mp3,481
229,254.60673241449064,254.70059979012606,BF1_central.mp3,481
230,254.34011577609627,254.39876566795004,BF1_central.mp3,481
231,254.06788333057304,254.27382393585953,BF1_central.mp3,481
232,253.79381808636913,254.11305920779176,BF1_central.mp3,481
233,253.52194965566156,253.7328789551178,BF1_central.mp3,481
234,253.25349144287767,253.36202661885898,BF1_central.mp3,481
235,252.9935062374082,253.23562747706214,BF1_central.mp3,481
236,252.74230020646712,253.07152222403246,BF1_central.mp3,481
237,252.50212605604437,252.782307529376,BF1_central.mp3,481
238,252.26941363201408,252.36349690582765,BF1_central.mp3,481
239,252.05502827808508,252.26043028140998,BF1_central.mp3,481
240,251.8514272642965,252.13082548589932,BF1_central.mp3,481
241,251.66090905311188,251.92964161398262,BF1_central.mp3,481
242,251.48138197133832,251.6252020321344,BF1_central.mp3,481
243,251.31229100251326,251.5808769051905,BF1_central.mp3,481
244,251.1528950355299,251.47784781353207,BF1_central.mp3,481
245,251.0028440308004,251.24649486652498,BF1_central.mp3,481
246,250.8614151158531,251.00560308049833,BF1_central.mp3,481
247,250.7280783901188,250.9613443410822,BF1_central.mp3,481
248,250.59940794440843,250.9084824449837,BF1_central.mp3,481
249,250.4796150398462,250.67950661734136,BF1_central.mp3,481
250,250.3684412381606,250.41221254560918,BF1_central.mp3,481
251,250.26467632891325,250.3383917021072,BF1_central.mp3,481
